amplia gama  WIDE RANGE 
subir  GO UP 
bajar  GO DOWN 
mantenimiento  MAINTENANCE 
bricolaje  DO-IT-YOURSELF DIY 
en plena forma  TIP TOP SHAPE 
funcionando  IN WORKING ORDER 
convencer  TALK INTO 
quemar calorías  BURN CALORIES 
quedar con  HANG OUT WITH 

308 Paraules insertades Mysql. Unitat : 26  Usuari : 2
